Dt_Customer,Marital_Status,Education,Current_Age,Recency,NumWebVisitsMonth,Income,childornot,total_amt_spent,totalnum_purchases,Target,segments
757.0,0.0,1.0,66.0,58.0,7.0,58138.0,0.0,1617.0,25.0,1.0,Good Customers
23.0,0.0,1.0,69.0,38.0,5.0,46344.0,2.0,27.0,6.0,0.0,Good Customers
374.0,1.0,1.0,58.0,26.0,4.0,71613.0,0.0,776.0,21.0,0.0,Good Customers
21.0,1.0,1.0,39.0,26.0,6.0,26646.0,1.0,53.0,8.0,0.0,Bad Customers
12.0,1.0,2.0,42.0,94.0,5.0,58293.0,1.0,422.0,19.0,0.0,Good Customers
386.0,1.0,2.0,56.0,16.0,6.0,62513.0,1.0,716.0,22.0,0.0,Good Customers
748.0,0.0,1.0,52.0,34.0,6.0,55635.0,1.0,590.0,21.0,0.0,Good Customers
388.0,1.0,2.0,38.0,32.0,8.0,33454.0,1.0,169.0,10.0,0.0,Bad Customers
389.0,1.0,2.0,49.0,19.0,9.0,30351.0,1.0,46.0,6.0,1.0,Bad Customers
18.0,1.0,2.0,73.0,68.0,20.0,5648.0,2.0,49.0,2.0,1.0,Bad Customers
380.0,1.0,1.0,40.0,11.0,7.0,51381.5,1.0,19.0,4.0,0.0,Good Customers
748.0,1.0,0.0,47.0,59.0,8.0,7500.0,0.0,61.0,6.0,0.0,Bad Customers
380.0,0.0,1.0,64.0,82.0,2.0,63033.0,0.0,1102.0,16.0,0.0,Good Customers
380.0,0.0,2.0,71.0,53.0,6.0,59354.0,2.0,310.0,15.0,0.0,Good Customers
751.0,1.0,1.0,36.0,38.0,8.0,17323.0,0.0,46.0,5.0,0.0,Bad Customers
737.0,0.0,2.0,77.0,23.0,3.0,82800.0,0.0,1315.0,26.0,1.0,Good Customers
737.0,1.0,1.0,43.0,51.0,8.0,41850.0,2.0,96.0,9.0,0.0,Bad Customers
730.0,1.0,1.0,77.0,20.0,7.0,37760.0,0.0,317.0,13.0,0.0,Bad Customers
368.0,1.0,2.0,74.0,91.0,5.0,76995.0,1.0,1782.0,26.0,1.0,Good Customers
758.0,0.0,0.0,38.0,86.0,6.0,33812.0,1.0,133.0,8.0,0.0,Bad Customers
753.0,1.0,1.0,41.0,41.0,8.0,37040.0,0.0,316.0,12.0,0.0,Bad Customers
390.0,1.0,1.0,44.0,42.0,1.0,2447.0,1.0,1730.0,43.0,0.0,Bad Customers
738.0,1.0,2.0,74.0,63.0,8.0,58607.0,1.0,972.0,17.0,1.0,Good Customers
20.0,1.0,2.0,69.0,0.0,4.0,65324.0,1.0,544.0,20.0,0.0,Good Customers
378.0,1.0,1.0,72.0,69.0,8.0,40689.0,1.0,444.0,20.0,0.0,Bad Customers
394.0,0.0,1.0,54.0,89.0,7.0,18589.0,0.0,75.0,8.0,0.0,Bad Customers
369.0,1.0,1.0,47.0,4.0,7.0,53359.0,2.0,257.0,14.0,0.0,Good Customers
376.0,0.0,1.0,37.0,19.0,1.0,51381.5,1.0,637.0,27.0,0.0,Good Customers
365.0,1.0,1.0,34.0,26.0,3.0,38360.0,1.0,131.0,9.0,0.0,Bad Customers
373.0,1.0,2.0,58.0,96.0,2.0,84618.0,0.0,1672.0,26.0,1.0,Good Customers
9.0,0.0,2.0,34.0,34.0,5.0,10979.0,0.0,30.0,8.0,0.0,Bad Customers
385.0,1.0,2.0,60.0,56.0,3.0,38620.0,0.0,318.0,11.0,0.0,Bad Customers
